                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.99686,                 1.2852,                 1.4325,                0.52167,                0.61189,                0.60151,                0.40358,                 1.1944,                 1.2241,                 1.8143,             0.00061859,             0.00061859,             0.00061859
                     54,                0.99932,                  1.257,                 1.4361,                0.62382,                0.56054,                0.58877,                0.39693,                 1.1807,                 1.2061,                 1.8142,             0.00061446,             0.00061446,             0.00061446
                     55,                0.98581,                 1.2511,                 1.4277,                0.56304,                0.61981,                0.57948,                0.38469,                 1.1763,                 1.2562,                 1.8136,             0.00061034,             0.00061034,             0.00061034
                     56,                0.99474,                 1.2399,                 1.4269,                0.59986,                0.54675,                0.57039,                0.37789,                 1.1916,                  1.244,                 1.8265,             0.00060622,             0.00060622,             0.00060622
                     57,                0.98475,                 1.2172,                  1.428,                 0.6907,                0.53039,                0.62106,                0.42129,                 1.2155,                 1.2128,                 1.8143,             0.00060209,             0.00060209,             0.00060209
                     58,                0.98707,                 1.2087,                  1.428,                0.61773,                0.59464,                0.62035,                0.41449,                 1.1883,                 1.2162,                  1.831,             0.00059797,             0.00059797,             0.00059797
                     59,                0.98095,                 1.1864,                 1.4214,                0.58715,                0.60352,                0.61144,                0.41688,                 1.1883,                 1.2491,                 1.8499,             0.00059385,             0.00059385,             0.00059385
                     60,                 0.9781,                 1.2163,                 1.4132,                0.58974,                0.61314,                 0.6263,                0.41615,                 1.1944,                 1.2475,                 1.8401,             0.00058972,             0.00058972,             0.00058972
                     61,                0.94718,                 1.1633,                 1.3985,                0.63331,                0.57306,                0.61318,                0.41392,                  1.144,                 1.2637,                 1.7843,              0.0005856,              0.0005856,              0.0005856
                     62,                0.96225,                 1.1726,                 1.3977,                0.58153,                0.61723,                0.62624,                0.41838,                 1.1794,                  1.276,                  1.842,             0.00058148,             0.00058148,             0.00058148
                     63,                0.93492,                  1.143,                 1.3776,                0.65405,                 0.5492,                0.62681,                0.41953,                 1.1889,                 1.2243,                 1.8398,             0.00057735,             0.00057735,             0.00057735
                     64,                0.94474,                 1.1597,                 1.3974,                0.51984,                0.62822,                0.61127,                0.40515,                 1.1885,                 1.2241,                 1.8317,             0.00057323,             0.00057323,             0.00057323
                     65,                0.92623,                 1.1381,                 1.3763,                0.57791,                 0.6018,                 0.6141,                0.41809,                 1.2185,                 1.2551,                 1.8927,             0.00056911,             0.00056911,             0.00056911
                     66,                0.94994,                 1.1282,                 1.3933,                0.60562,                0.56485,                0.60444,                0.40531,                 1.1835,                 1.2494,                 1.8528,             0.00056498,             0.00056498,             0.00056498
                     67,                0.91527,                 1.1066,                 1.3721,                0.65078,                0.58491,                0.62251,                0.39844,                 1.2147,                 1.2042,                   1.91,             0.00056086,             0.00056086,             0.00056086
                     68,                0.92503,                 1.1246,                 1.3714,                0.55981,                0.60524,                0.61263,                 0.4055,                 1.2291,                 1.1743,                 1.8826,             0.00055674,             0.00055674,             0.00055674
                     69,                0.90931,                 1.0973,                 1.3668,                0.61157,                0.60942,                0.62811,                0.41415,                 1.1775,                 1.1999,                 1.8731,             0.00055261,             0.00055261,             0.00055261
                     70,                0.90844,                 1.0812,                  1.364,                0.57772,                0.63531,                0.61815,                0.40514,                 1.1767,                 1.2372,                 1.8465,             0.00054849,             0.00054849,             0.00054849
                     71,                0.90273,                 1.0584,                 1.3601,                0.63575,                0.59391,                0.63912,                0.43131,                 1.1956,                  1.182,                 1.8675,             0.00054437,             0.00054437,             0.00054437
                     72,                0.89907,                 1.0555,                 1.3549,                0.71492,                0.56407,                0.65506,                0.43384,                 1.2431,                 1.1621,                  1.924,             0.00054024,             0.00054024,             0.00054024
                     73,                0.90654,                 1.0308,                 1.3561,                0.58057,                0.64316,                0.63514,                0.42023,                 1.2029,                 1.2138,                 1.8733,             0.00053612,             0.00053612,             0.00053612
                     74,                 0.8995,                 1.0697,                 1.3506,                0.68764,                0.58858,                0.64545,                0.41603,                 1.1896,                 1.2135,                 1.9024,               0.000532,               0.000532,               0.000532
                     75,                 0.8824,                 1.0078,                 1.3415,                0.64659,                0.57731,                0.61092,                0.39106,                 1.2403,                 1.2715,                  1.936,             0.00052787,             0.00052787,             0.00052787
                     76,                0.87458,                 1.0116,                 1.3422,                0.61728,                 0.6702,                0.66358,                0.43038,                 1.1973,                 1.1792,                 1.8795,             0.00052375,             0.00052375,             0.00052375
                     77,                0.88272,                 1.0294,                 1.3462,                0.60387,                 0.6374,                0.63466,                0.42776,                 1.2012,                 1.2524,                  1.894,             0.00051963,             0.00051963,             0.00051963
                     78,                 0.8644,                 0.9916,                 1.3418,                 0.5946,                0.64692,                0.60258,                0.39602,                 1.2111,                 1.2485,                 1.8864,              0.0005155,              0.0005155,              0.0005155
