                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.86115,                0.79543,                 1.2587,                0.59942,                 0.6027,                0.62937,                0.38712,                 1.3598,                 1.2964,                 1.9336,             0.00061446,             0.00061446,             0.00061446
                     55,                0.84956,                 0.7844,                 1.2613,                0.70926,                0.59891,                0.64446,                0.41278,                 1.3409,                 1.2749,                 1.8952,             0.00061034,             0.00061034,             0.00061034
                     56,                0.84289,                0.78822,                 1.2507,                0.69967,                0.55779,                0.63519,                0.41386,                  1.326,                 1.3536,                 1.9224,             0.00060622,             0.00060622,             0.00060622
                     57,                0.86272,                 0.7895,                 1.2628,                0.80029,                0.56071,                0.66167,                0.41861,                 1.3324,                 1.3982,                 1.9137,             0.00060209,             0.00060209,             0.00060209
                     58,                0.86254,                0.78398,                 1.2651,                 0.6792,                0.57279,                0.62268,                0.41175,                 1.3199,                  1.505,                 1.9041,             0.00059797,             0.00059797,             0.00059797
                     59,                0.84696,                0.77916,                 1.2547,                0.69198,                0.58488,                0.62322,                0.39421,                 1.3007,                 1.3232,                 1.8528,             0.00059385,             0.00059385,             0.00059385
                     60,                0.84436,                0.76367,                 1.2503,                0.70719,                0.55058,                0.62308,                0.39288,                 1.3077,                   1.34,                 1.9103,             0.00058972,             0.00058972,             0.00058972
                     61,                 0.8216,                0.75295,                  1.239,                0.75677,                0.58711,                  0.667,                 0.4244,                 1.2883,                 1.3136,                 1.8716,              0.0005856,              0.0005856,              0.0005856
                     62,                0.84526,                0.74787,                 1.2484,                0.67814,                0.61134,                0.65938,                0.43017,                 1.2994,                 1.2559,                 1.8732,             0.00058148,             0.00058148,             0.00058148
                     63,                0.82293,                0.73576,                 1.2367,                0.68343,                0.62452,                0.66202,                0.42658,                 1.3214,                 1.3111,                 1.8916,             0.00057735,             0.00057735,             0.00057735
                     64,                0.82706,                0.75357,                 1.2449,                0.69421,                0.56497,                0.61852,                0.39884,                 1.3567,                 1.2955,                 1.9848,             0.00057323,             0.00057323,             0.00057323
                     65,                0.81829,                0.73915,                 1.2384,                0.65186,                0.61799,                0.65757,                 0.4254,                 1.3025,                 1.2071,                  1.904,             0.00056911,             0.00056911,             0.00056911
                     66,                0.81002,                0.72392,                 1.2295,                0.69404,                 0.5707,                 0.6351,                0.40229,                 1.3319,                 1.3406,                 1.9274,             0.00056498,             0.00056498,             0.00056498
                     67,                0.80884,                0.72416,                 1.2234,                0.63455,                0.62263,                0.66469,                0.42746,                 1.3337,                 1.2607,                 1.9027,             0.00056086,             0.00056086,             0.00056086
                     68,                0.81443,                0.70812,                 1.2296,                0.66488,                0.60691,                0.62996,                0.40858,                 1.3158,                 1.2875,                 1.8986,             0.00055674,             0.00055674,             0.00055674
                     69,                 0.8042,                0.71507,                 1.2223,                0.75685,                 0.5374,                0.61183,                0.38891,                 1.3075,                 1.2971,                 1.9074,             0.00055261,             0.00055261,             0.00055261
                     70,                0.80304,                0.72688,                 1.2247,                0.69981,                0.58069,                0.65577,                0.41916,                  1.299,                 1.2676,                 1.8646,             0.00054849,             0.00054849,             0.00054849
                     71,                 0.7958,                0.70408,                 1.2236,                0.71884,                0.54459,                0.61909,                0.39326,                 1.3224,                 1.3484,                 1.8938,             0.00054437,             0.00054437,             0.00054437
                     72,                0.79116,                0.69532,                  1.215,                0.74695,                0.56764,                0.64971,                0.42031,                 1.3072,                 1.3188,                 1.9087,             0.00054024,             0.00054024,             0.00054024
                     73,                 0.7804,                0.69267,                 1.2107,                0.61676,                0.63772,                0.62771,                0.39988,                 1.3172,                 1.3382,                 1.8981,             0.00053612,             0.00053612,             0.00053612
