                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.97719,                 1.1409,                 1.2878,                0.40321,                0.52588,                0.48939,                0.33009,                 1.2579,                 1.6748,                 1.6127,             0.00062271,             0.00062271,             0.00062271
                     53,                0.95003,                 1.1413,                  1.279,                 0.5574,                0.53169,                0.53714,                0.35246,                 1.3471,                 1.6886,                 1.6996,             0.00061859,             0.00061859,             0.00061859
                     54,                 0.9334,                 1.1384,                 1.2858,                0.46461,                0.62628,                0.54748,                0.35524,                 1.3495,                 1.5642,                 1.6543,             0.00061446,             0.00061446,             0.00061446
                     55,                0.91275,                  1.084,                 1.2567,                0.52017,                0.55624,                0.55663,                0.35671,                 1.2468,                 1.6234,                  1.592,             0.00061034,             0.00061034,             0.00061034
                     56,                0.93719,                 1.0704,                 1.2732,                0.73389,                0.55206,                0.61094,                0.40568,                 1.3761,                 1.5536,                 1.6862,             0.00060622,             0.00060622,             0.00060622
                     57,                0.92886,                 1.0815,                 1.2746,                0.46358,                0.55479,                0.54117,                0.35155,                 1.4436,                 1.6831,                 1.7388,             0.00060209,             0.00060209,             0.00060209
                     58,                0.91936,                 1.0256,                 1.2667,                0.56173,                0.62319,                0.58555,                0.36297,                 1.3947,                 1.6503,                 1.7522,             0.00059797,             0.00059797,             0.00059797
                     59,                0.91461,                 1.0386,                 1.2358,                0.47893,                0.63791,                0.55409,                0.35738,                  1.347,                 1.7037,                 1.7001,             0.00059385,             0.00059385,             0.00059385
                     60,                0.93045,                 1.0906,                 1.2476,                0.53362,                0.47304,                0.50892,                0.31398,                 1.4186,                 1.9702,                 1.7199,             0.00058972,             0.00058972,             0.00058972
                     61,                 0.9376,                 1.0753,                 1.2773,                0.53262,                0.58334,                0.58128,                0.36016,                 1.3844,                 1.5438,                 1.6965,              0.0005856,              0.0005856,              0.0005856
                     62,                0.92524,                0.99315,                 1.2493,                0.64438,                0.47154,                0.49908,                0.32695,                  1.408,                  1.758,                 1.7667,             0.00058148,             0.00058148,             0.00058148
                     63,                0.87528,                0.97137,                 1.2214,                0.66291,                0.51002,                0.56823,                0.36756,                 1.3465,                 1.5168,                 1.6844,             0.00057735,             0.00057735,             0.00057735
                     64,                0.86769,                0.99135,                  1.229,                 0.5507,                0.52912,                 0.5709,                0.37761,                 1.3572,                 1.7568,                 1.6653,             0.00057323,             0.00057323,             0.00057323
                     65,                0.86205,                0.97673,                 1.2174,                0.56495,                0.54917,                0.54261,                0.35617,                 1.3667,                 1.5714,                 1.6711,             0.00056911,             0.00056911,             0.00056911
