                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.96735,                0.95562,                 1.3365,                 0.6916,                0.51356,                0.59646,                0.39156,                  1.315,                 1.4371,                 1.8345,              0.0094654,              0.0094654,              0.0094654
                     56,                0.95173,                0.95468,                 1.3178,                0.58075,                0.60911,                    0.6,                0.38943,                 1.3222,                 1.2911,                 1.8719,              0.0094555,              0.0094555,              0.0094555
                     57,                0.98618,                0.96486,                 1.3409,                0.64846,                 0.6176,                0.63965,                0.41294,                 1.3002,                 1.3791,                 1.8787,              0.0094456,              0.0094456,              0.0094456
                     58,                0.98295,                0.95367,                 1.3383,                0.64973,                0.58144,                0.61892,                0.40471,                 1.3039,                 1.3148,                 1.8576,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.9616,                0.94455,                 1.3301,                0.61318,                0.63085,                0.64209,                0.41238,                 1.3084,                 1.3099,                 1.8549,              0.0094258,              0.0094258,              0.0094258
                     60,                0.96131,                0.94599,                 1.3227,                0.66334,                0.55426,                0.62872,                0.40477,                 1.2717,                 1.2764,                 1.8032,              0.0094159,              0.0094159,              0.0094159
                     61,                0.95504,                  0.941,                 1.3202,                0.69907,                 0.6061,                0.65715,                0.40834,                 1.2998,                 1.2746,                 1.8367,               0.009406,               0.009406,               0.009406
                     62,                0.96697,                0.92543,                 1.3261,                0.65272,                0.58016,                0.62757,                0.39989,                 1.2651,                 1.2164,                 1.7867,              0.0093961,              0.0093961,              0.0093961
                     63,                0.94217,                0.90535,                 1.3142,                0.67057,                0.59484,                0.61187,                0.39244,                 1.3322,                 1.3626,                 1.9056,              0.0093862,              0.0093862,              0.0093862
                     64,                0.95243,                0.92958,                 1.3234,                0.66059,                0.54466,                0.63067,                0.40858,                 1.3033,                 1.2742,                 1.8468,              0.0093763,              0.0093763,              0.0093763
                     65,                0.94703,                0.92391,                  1.316,                0.68056,                0.62008,                0.65538,                0.43608,                 1.2469,                 1.2134,                 1.7969,              0.0093664,              0.0093664,              0.0093664
                     66,                0.93373,                0.89154,                 1.3114,                0.66425,                0.57676,                0.62179,                 0.4108,                 1.2911,                 1.3499,                 1.8437,              0.0093565,              0.0093565,              0.0093565
                     67,                0.92671,                0.90295,                 1.3007,                0.60967,                0.64219,                0.65341,                0.42134,                 1.3026,                 1.2704,                 1.8384,              0.0093466,              0.0093466,              0.0093466
                     68,                0.92811,                 0.8688,                 1.3023,                0.62611,                0.58062,                0.60457,                0.39517,                 1.2533,                 1.2849,                 1.8039,              0.0093367,              0.0093367,              0.0093367
                     69,                0.93469,                0.88487,                 1.3046,                0.63952,                 0.6119,                0.61207,                 0.3906,                 1.2623,                 1.3779,                 1.7852,              0.0093268,              0.0093268,              0.0093268
                     70,                0.92467,                0.88966,                 1.2997,                0.73039,                0.56036,                0.62381,                0.41408,                 1.2739,                   1.25,                 1.8123,              0.0093169,              0.0093169,              0.0093169
                     71,                0.92132,                0.87572,                 1.3048,                0.59444,                0.58328,                0.58045,                0.38485,                 1.2832,                 1.3825,                 1.8363,               0.009307,               0.009307,               0.009307
                     72,                0.91157,                0.85539,                 1.2902,                0.62817,                0.59629,                0.60784,                0.39846,                 1.2799,                 1.3218,                 1.8199,              0.0092971,              0.0092971,              0.0092971
                     73,                0.91115,                0.84724,                 1.2915,                0.56301,                0.65077,                0.60675,                0.39297,                 1.2813,                 1.3528,                 1.8206,              0.0092872,              0.0092872,              0.0092872
                     74,                0.90251,                0.85393,                 1.2914,                 0.6618,                0.57889,                0.62092,                0.39685,                 1.2746,                 1.3373,                 1.8296,              0.0092773,              0.0092773,              0.0092773
                     75,                0.90695,                0.84381,                 1.2933,                0.63903,                 0.5657,                0.58932,                  0.376,                 1.3135,                 1.3277,                 1.8247,              0.0092674,              0.0092674,              0.0092674
                     76,                0.90504,                0.84902,                  1.286,                0.67303,                0.58418,                0.60668,                0.38297,                 1.2936,                 1.3053,                 1.8387,              0.0092575,              0.0092575,              0.0092575
                     77,                0.89408,                0.83673,                 1.2827,                 0.6275,                0.57338,                0.60606,                0.38821,                 1.3255,                  1.305,                 1.8709,              0.0092476,              0.0092476,              0.0092476
                     78,                0.89431,                0.83015,                 1.2781,                0.65606,                0.59259,                 0.6039,                0.38943,                 1.2912,                 1.3219,                 1.8336,              0.0092377,              0.0092377,              0.0092377
                     79,                0.88113,                0.82738,                 1.2793,                0.64537,                0.59498,                0.61539,                0.40835,                 1.2858,                 1.2767,                  1.816,              0.0092278,              0.0092278,              0.0092278
                     80,                0.89252,                0.81922,                 1.2788,                0.68174,                0.57493,                0.63739,                0.40956,                 1.2976,                 1.2675,                 1.8387,              0.0092179,              0.0092179,              0.0092179
                     81,                 0.8926,                0.82493,                 1.2682,                0.62455,                0.57023,                0.59394,                0.38936,                 1.3151,                 1.4385,                 1.8831,               0.009208,               0.009208,               0.009208
                     82,                0.88905,                0.81783,                 1.2831,                 0.6605,                0.64371,                0.65222,                 0.4143,                 1.2999,                 1.2755,                 1.8631,              0.0091981,              0.0091981,              0.0091981
                     83,                0.87926,                0.79873,                 1.2684,                 0.6861,                0.57003,                0.60572,                0.40091,                  1.298,                 1.2756,                 1.8331,              0.0091882,              0.0091882,              0.0091882
                     84,                0.88795,                0.80982,                 1.2726,                 0.6886,                0.59927,                0.62082,                0.40952,                 1.2816,                 1.2934,                 1.8721,              0.0091783,              0.0091783,              0.0091783
                     85,                0.87525,                0.79868,                 1.2713,                0.68776,                0.59927,                0.63634,                 0.4063,                 1.2996,                 1.3352,                 1.8533,              0.0091684,              0.0091684,              0.0091684
                     86,                0.87295,                0.80547,                 1.2666,                0.59236,                0.60251,                0.61072,                0.39425,                 1.2941,                 1.3413,                 1.8445,              0.0091585,              0.0091585,              0.0091585
                     87,                0.86788,                0.78589,                 1.2509,                 0.7002,                 0.6274,                0.63377,                0.40749,                 1.3065,                 1.3234,                 1.8628,              0.0091486,              0.0091486,              0.0091486
                     88,                0.84722,                0.77853,                 1.2534,                0.62491,                0.58985,                0.59688,                0.39559,                 1.2874,                 1.3779,                 1.8583,              0.0091387,              0.0091387,              0.0091387
                     89,                0.87058,                0.78373,                 1.2568,                0.71359,                0.56194,                0.63056,                0.40417,                 1.3109,                 1.3342,                  1.874,              0.0091288,              0.0091288,              0.0091288
                     90,                0.85534,                0.77996,                 1.2552,                0.63774,                0.56474,                0.62389,                0.39794,                 1.2709,                 1.2623,                 1.8351,              0.0091189,              0.0091189,              0.0091189
                     91,                0.86362,                0.76828,                 1.2464,                0.64112,                0.55611,                0.62265,                0.40716,                 1.2928,                 1.3549,                 1.8534,               0.009109,               0.009109,               0.009109
                     92,                0.85678,                0.77229,                 1.2458,                 0.6286,                 0.6157,                 0.6412,                0.40791,                 1.3065,                 1.3161,                 1.8595,              0.0090991,              0.0090991,              0.0090991
                     93,                0.85609,                0.77512,                  1.254,                0.64154,                0.57365,                0.61226,                 0.3917,                 1.2845,                 1.3804,                 1.8311,              0.0090892,              0.0090892,              0.0090892
                     94,                0.85451,                 0.7693,                  1.247,                0.72031,                0.54759,                0.62663,                0.40652,                 1.3055,                 1.3846,                  1.861,              0.0090793,              0.0090793,              0.0090793
                     95,                0.84577,                0.75657,                 1.2429,                0.59893,                0.58713,                0.60429,                0.38415,                 1.3299,                 1.3617,                 1.8962,              0.0090694,              0.0090694,              0.0090694
                     96,                0.86111,                 0.7612,                 1.2509,                 0.6653,                 0.5544,                0.60282,                0.38753,                 1.2923,                 1.4098,                 1.8403,              0.0090595,              0.0090595,              0.0090595
                     97,                0.86447,                0.77701,                 1.2504,                0.65421,                0.56493,                0.60487,                0.37902,                 1.3515,                 1.3616,                 1.9246,              0.0090496,              0.0090496,              0.0090496
                     98,                0.83606,                0.75063,                 1.2391,                0.60584,                0.59481,                0.61474,                0.38633,                 1.3364,                 1.3423,                 1.8914,              0.0090397,              0.0090397,              0.0090397
                     99,                0.84732,                0.75533,                  1.236,                0.58508,                0.60578,                 0.6012,                 0.3865,                 1.3173,                 1.3248,                 1.8887,              0.0090298,              0.0090298,              0.0090298
                    100,                0.84735,                0.74461,                  1.249,                0.60125,                0.58339,                0.61122,                 0.3906,                 1.3111,                  1.312,                 1.8811,              0.0090199,              0.0090199,              0.0090199
